what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360534869255
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360534872687
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.AllMarkersView",1360534873250
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.AllMarkersView",1360534873324
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360534878992
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360534901517
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1360534901528
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1360534940282
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360534940737
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360534940918
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1360534944657
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360534945129
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360534945306
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360534962644
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360534979219
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1360535103067
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360535357411
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360535386051
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1360535388248
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360535397495
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360535403242
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360535411050
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360535424650
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1360535424663
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360535426945
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360535428400
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1360535428410
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1360535428410
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360535440530
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360535520673
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1360535521112
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1360535521140
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1360535521152
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1360535521226
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1360535521412
opened,view,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1360535522229
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1360535522327
